entity_id,canonical_name,short_name,entity_type,security_code,parent_id,group_id,group_since,group_verified,aliases,group_source
600307,甘肃酒钢集团宏兴钢铁股份有限公司,酒钢宏兴,listed_mill,600307,E_JISCO_GROUP,G_JISCO,,N,,
002075,江苏沙钢股份有限公司,沙钢股份,listed_mill,002075,E_SHAGANG_GROUP,G_SHAGANG,,N,,
000708,中信泰富特钢集团股份有限公司,中信特钢,listed_mill,000708,E_CITIC_PACIFIC,G_CITIC,,N,,
000825,山西太钢不锈钢股份有限公司,太钢不锈,listed_mill,000825,E_TISCO_GROUP,G_BAOWU,2020-12,N,,
600399,抚顺特殊钢股份有限公司,抚顺特钢,listed_mill,600399,,G_SHAGANG,2019,Y,,https://www.thepaper.cn/newsDetail_forward_28102042
000717,广东中南钢铁股份有限公司,中南股份,listed_mill,000717,,G_BAOWU,2020,N,韶钢松山,
600117,西宁特殊钢股份有限公司,西宁特钢,listed_mill,600117,,G_JIANLONG,2023-11,Y,,http://www.csteelnews.com/xwzx/jrrd/202311/t20231108_81302.html
600126,杭州钢铁股份有限公司,杭钢股份,listed_mill,600126,E_HANGGANG_GROUP,G_HANGGANG,,N,,
000923,河钢资源股份有限公司,河钢资源,listed_upstream,000923,E_HBIS_GROUP,G_HBIS,,N,,
600408,山西安泰集团股份有限公司,安泰集团,listed_upstream,600408,,G_ANTAI,,N,,
000629,攀钢集团钒钛资源股份有限公司,钒钛股份,listed_upstream,000629,,G_ANSTEEL,,N,攀钢钒钛,
600295,内蒙古鄂尔多斯资源股份有限公司,鄂尔多斯,listed_upstream,600295,,G_ERDOS,,N,,
002318,浙江久立特材科技股份有限公司,久立特材,listed_downstream,002318,,G_002318,,N,,
002478,江苏常宝钢管股份有限公司,常宝股份,listed_downstream,002478,,G_002478,,N,,
002443,浙江金洲管道科技股份有限公司,金洲管道,listed_downstream,002443,,G_002443,,N,,
601686,天津友发钢管集团股份有限公司,友发集团,listed_downstream,601686,,G_601686,,N,,
300881,盛德鑫泰新材料股份有限公司,盛德鑫泰,listed_downstream,300881,,G_300881,,N,,
000778,新兴铸管股份有限公司,新兴铸管,listed_downstream,000778,,G_000778,,N,,
603995,甬金科技集团股份有限公司,甬金股份,listed_downstream,603995,,G_603995,,N,,
603878,江苏武进不锈股份有限公司,武进不锈,listed_downstream,603878,,G_603878,,N,,
002756,永兴特种材料科技股份有限公司,永兴材料,listed_downstream,002756,,G_002756,,N,,
688186,张家港广大特材股份有限公司,广大特材,listed_downstream,688186,,G_688186,,N,,
300034,北京钢研高纳科技股份有限公司,钢研高纳,listed_downstream,300034,,G_300034,,N,,
002541,安徽鸿路钢结构（集团）股份有限公司,鸿路钢构,listed_downstream,002541,,G_002541,,N,,
E_BAOWU,中国宝武钢铁集团有限公司,中国宝武,parent_group,,,G_BAOWU,,N,宝武集团|宝武,
E_BAYI_GROUP,宝钢集团新疆八一钢铁有限公司,八钢公司,parent_group,,E_BAOWU,G_BAOWU,,N,八钢集团,
E_MAGANG_GROUP,马钢（集团）控股有限公司,马钢集团,parent_group,,E_BAOWU,G_BAOWU,2019,N,,
E_TISCO_GROUP,太原钢铁（集团）有限公司,太钢集团,parent_group,,E_BAOWU,G_BAOWU,2020-12,N,,
E_XINGANG_GROUP,新余钢铁集团有限公司,新钢集团,parent_group,,E_BAOWU,G_BAOWU,2022-12,Y,,https://paper.cnstock.com/html/2022-12/24/content_1708260.htm
E_CHANGSHOU,重庆长寿钢铁有限公司,长寿钢铁,parent_group,,,G_BAOWU,2020-09,Y,,https://m.21jingji.com/article/20200918/3cc53ec1d85b464b32172ceaa347034c_zaker.html
E_ANSTEEL_GROUP,鞍钢集团有限公司,鞍钢集团,parent_group,,,G_ANSTEEL,,N,,
E_BENGANG_GROUP,本钢集团有限公司,本钢集团,parent_group,,E_ANSTEEL_GROUP,G_ANSTEEL,2021,N,,
E_LINGGANG_GROUP,凌源钢铁集团有限责任公司,凌钢集团,parent_group,,E_ANSTEEL_GROUP,G_ANSTEEL,2024-12,Y,,https://finance.sina.com.cn/stock/relnews/cn/2024-12-19/doc-inczysvu0087067.shtml
E_HBIS_GROUP,河钢集团有限公司,河钢集团,parent_group,,,G_HBIS,,N,,
E_SHOUGANG_GROUP,首钢集团有限公司,首钢集团,parent_group,,,G_SHOUGANG,,N,首钢总公司,
E_HUNAN_GROUP,湖南钢铁集团有限公司,湖南钢铁集团,parent_group,,,G_HUNAN,,N,华菱集团|湖南华菱钢铁集团有限责任公司,
E_XIANGGANG_GROUP,湘潭钢铁集团有限公司,湘钢集团,parent_group,,E_HUNAN_GROUP,G_HUNAN,,N,,
E_LIANGANG_GROUP,涟源钢铁集团有限公司,涟钢集团,parent_group,,E_HUNAN_GROUP,G_HUNAN,,N,,
E_HENGGANG_GROUP,衡阳钢管集团有限公司,衡钢集团,parent_group,,E_HUNAN_GROUP,G_HUNAN,,N,,
E_XIANGGANG,湖南华菱湘潭钢铁有限公司,华菱湘钢,subsidiary,,000932,G_HUNAN,,N,湘钢,
E_LIANGANG,湖南华菱涟源钢铁有限公司,华菱涟钢,subsidiary,,000932,G_HUNAN,,N,涟钢,
E_HENGGANG,衡阳华菱钢管有限公司,华菱衡钢,subsidiary,,000932,G_HUNAN,,N,衡钢,
E_HENGGANG_ROLL,衡阳华菱连轧管有限公司,华菱连轧管,subsidiary,,000932,G_HUNAN,,N,,
E_CITIC,中国中信集团有限公司,中信集团,parent_group,,,G_CITIC,,N,,
E_CITIC_PACIFIC,中信泰富有限公司,中信泰富,parent_group,,E_CITIC,G_CITIC,,N,,
E_NANGANG_LIAN,南京南钢钢铁联合有限公司,南京钢联,parent_group,,E_CITIC_PACIFIC,G_CITIC,2023-12,Y,,https://www.cs.com.cn/ssgs/gsxw/202312/t20231215_6380703.html
E_TJ_PIPE,天津钢管制造有限公司,天津钢管,subsidiary,,000708,G_CITIC,,N,,
E_TJ_PIPE_TRADE,天津钢管国际经济贸易有限公司,天津钢管国贸,subsidiary,,E_TJ_PIPE,G_CITIC,,N,,
E_JISCO_GROUP,酒泉钢铁（集团）有限责任公司,酒钢集团,parent_group,,,G_JISCO,,N,,
E_JISCO_YUZHONG,酒钢集团榆中钢铁有限责任公司,榆中钢铁,subsidiary,,600307,G_JISCO,,N,榆钢,
E_JISCO_HONGXIANG,甘肃酒钢宏兴宏翔能源有限责任公司,宏翔能源,subsidiary,,600307,G_JISCO,,N,,
E_ANYANG_GROUP,安阳钢铁集团有限责任公司,安钢集团,parent_group,,,G_ANYANG,,N,,
E_ANGANG_ZHOUKOU,河南安钢周口钢铁有限责任公司,安钢周口,subsidiary,,600569,G_ANYANG,,N,周口钢铁,
E_SANGANG_GROUP,福建省三钢（集团）有限责任公司,三钢集团,parent_group,,,G_FJYJ,,N,,
E_QUANZHOU_MG,福建泉州闽光钢铁有限责任公司,泉州闽光,subsidiary,,002110,G_FJYJ,,N,,
E_LUOYUAN_MG,福建罗源闽光钢铁有限责任公司,罗源闽光,subsidiary,,002110,G_FJYJ,,N,,
E_MG_YUNSHANG,福建闽光云商有限公司,闽光云商,subsidiary,,002110,G_FJYJ,,N,,
E_FANGDA_GROUP,辽宁方大集团实业有限公司,方大集团,parent_group,,,G_FANGDA,,N,,
E_FANGDA_STEEL,江西方大钢铁集团有限公司,方大钢铁,parent_group,,E_FANGDA_GROUP,G_FANGDA,,N,,
E_SHAGANG_GROUP,江苏沙钢集团有限公司,沙钢集团,parent_group,,,G_SHAGANG,,N,,
E_SHANGANG_GROUP,山东钢铁集团有限公司,山钢集团,parent_group,,,G_SHANGANG,,N,,
E_BAOTOU_GROUP,包头钢铁（集团）有限责任公司,包钢集团,parent_group,,,G_BAOTOU,,N,,
E_LIUGANG_GROUP,广西柳州钢铁集团有限公司,柳钢集团,parent_group,,,G_LIUGANG,,N,,
E_HANGGANG_GROUP,杭州钢铁集团有限公司,杭钢集团,parent_group,,,G_HANGGANG,,N,,
E_XINTAI,山西新泰钢铁有限公司,新泰钢铁,related_company,,,G_ANTAI,,N,,
