split,file_name,security_code,security_name,announcement_date,event_type,announcement_title,source_url,download_date,sha256,page_count,text_char_count,is_text_pdf
development,capacity_dev_011_600231_linggang_delay.pdf,600231,凌钢股份,2021-04-08,delay,"关于部分募投项目延期的公告",https://static.cninfo.com.cn/finalpage/2021-04-08/1209647943.PDF,2026-09-15,9948c5dd35f913637566348c90df7592e274d473cabe2582c7bf53de3ce5ca44,3,2048,true
development,capacity_dev_012_601686_youfa_termination.pdf,601686,友发集团,2024-12-14,termination,"关于终止募投项目并将剩余募集资金用于永久补充流动资金的公告",https://static.cninfo.com.cn/finalpage/2024-12-14/1222017595.PDF,2026-09-15,f41fe7fe9f5ae8eb162aa180945744f9435fd9fa0f0399047e2bd80d1b6d259e,5,4262,true
blind,capacity_blind_001_601003_liugang_replacement.pdf,601003,柳钢股份,2021-06-04,capacity_replacement,"关于公司拟向控股子公司置换产能的提示性公告",https://static.cninfo.com.cn/finalpage/2021-06-04/1210159501.PDF,2026-09-15,42adbf8db4d0c7c0319d4f85c231684ba421412a8aebf3dcba12fc99abed89c4,1,639,true
blind,capacity_blind_002_601003_liugang_replacement.pdf,601003,柳钢股份,2021-07-29,capacity_replacement,"关于公司拟向控股子公司置换产能的进展公告",https://static.cninfo.com.cn/finalpage/2021-07-29/1210588905.PDF,2026-09-15,6a658f1d06d98b9e978a0f95d8e4ba56e3d6453062e3013af8287852b86ff54a,1,583,true
blind,capacity_blind_003_000717_zhongnan_technical_upgrade.pdf,000717,中南股份,2024-04-29,technical_upgrade,"2024年度基建技改项目投资框架计划的公告",https://static.cninfo.com.cn/finalpage/2024-04-29/1219858956.PDF,2026-09-15,6c03a2ea85c0e48d44537fc1fee825f70811498e0f16641c6d538a37407a04d6,5,2618,true
blind,capacity_blind_004_000717_zhongnan_technical_upgrade.pdf,000717,中南股份,2023-04-28,technical_upgrade,"2023年度基建技改项目投资框架计划的公告",https://static.cninfo.com.cn/finalpage/2023-04-28/1216649302.PDF,2026-09-15,b1ee721a63395dd492acca0da10f4c136ca6efce3d27ebe0cb9150401b15e73a,6,3078,true
blind,capacity_blind_005_600282_nangang_delay.pdf,600282,南钢股份,2020-06-24,delay,"关于部分募投项目变更实施主体及延期的公告",https://static.cninfo.com.cn/finalpage/2020-06-24/1207955472.PDF,2026-09-15,195b4eed7f76c02ec2dd70adc0f73e9b469b1022983dd6d2a914f29701ac945a,4,3035,true
blind,capacity_blind_006_600282_nangang_construction.pdf,600282,南钢股份,2020-11-19,capacity_construction,"关于在海外投资设立合资公司实施焦炭项目的公告",https://static.cninfo.com.cn/finalpage/2020-11-19/1208763236.PDF,2026-09-15,8a498ac8025ac720f161d735a24769c2e18671cf2e1436b1c215d90ea88d8ec1,13,9647,true
blind,capacity_blind_007_000708_citicsteel_construction.pdf,000708,中信特钢,2020-03-06,capacity_construction,"关于子公司青岛特殊钢铁有限公司环保搬迁续建项目的公告",https://static.cninfo.com.cn/finalpage/2020-03-06/1207348275.PDF,2026-09-15,754e1f06d5e67026654419de91ed4c9cd429659739a7612053b26124c919ce58,4,2157,true
blind,capacity_blind_008_000708_citicsteel_construction.pdf,000708,大冶特钢（现中信特钢）,2018-05-18,capacity_construction,"关于建设高品质模具钢生产线项目的公告",https://static.cninfo.com.cn/finalpage/2018-05-18/1204952650.PDF,2026-09-15,9da85fc16e4aa4358b7f4fadbf16d4a996daf3a51319109c908a35bd580a1cc9,3,1973,true
