holdout_id,security_code,security_name,announcement_date,target_pattern,announcement_title,source_url,notes
analysis_011,000717,中南股份,2025-12-13,capacity,关于转让龙头寨码头建设项目在建工程暨关联交易的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-12/2025-12-13/11704843.PDF,capacity / maintenance; sina doc 11704843
analysis_012,000717,中南股份,2026-04-08,capacity,2026年度基建技改项目投资框架计划的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-08/12064806.PDF,capacity / maintenance; sina doc 12064806
analysis_013,000761,本钢板材,2024-12-06,related_estimate,2025年日常关联交易预计公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-12/2024-12-06/10629530.PDF,annual estimate FY2025/FY2026; sina doc 10629530
analysis_014,000761,本钢板材,2025-12-26,related_estimate,2026年度日常关联交易预计公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-12/2025-12-26/11875138.PDF,annual estimate FY2025/FY2026; sina doc 11875138
analysis_015,000825,太钢不锈,2025-01-02,related_estimate,关于2025年与日常经营相关的关联交易预计公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-1/2025-01-02/10687960.PDF,annual estimate FY2025/FY2026; sina doc 10687960
analysis_016,000898,鞍钢股份,2025-03-31,related_estimate,2025年度日常关联交易预计公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-3/2025-03-31/10833155.PDF,annual estimate FY2025/FY2026; sina doc 10833155
analysis_017,000932,华菱钢铁,2024-03-30,capacity,关于华菱涟钢实施冷轧高端家电板建设项目的投资公告2024-16,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-3/2024-03-30/9927316.PDF,capacity / maintenance; sina doc 9927316
analysis_018,000932,华菱钢铁,2025-03-22,guarantee_quota,关于2025年度为子公司提供担保额度预计的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-3/2025-03-22/10799801.PDF,annual guarantee quota; sina doc 10799801
analysis_019,000932,华菱钢铁,2025-01-22,related_estimate,关于2025年与湖南钢铁集团日常关联交易预计额公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-1/2025-01-22/10721953.PDF,annual estimate FY2025/FY2026; sina doc 10721953
analysis_020,000959,首钢股份,2024-06-08,guarantee_related,关于提供银行授信担保额度预计的关联交易公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-6/2024-06-08/10265556.PDF,guarantee involving a related/associated party; sina doc 10265556
analysis_021,000959,首钢股份,2025-04-18,guarantee_related,关于提供银行授信担保额度预计的关联交易公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-4/2025-04-18/10893238.PDF,guarantee involving a related/associated party; sina doc 10893238
analysis_022,000959,首钢股份,2025-05-17,guarantee_related,关于为参股公司提供银行授信担保额度预计的关联交易公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-5/2025-05-17/11117130.PDF,guarantee involving a related/associated party; sina doc 11117130
analysis_023,000959,首钢股份,2026-05-30,guarantee_related,关于提供银行授信担保额度预计的关联交易公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-5/2026-05-30/12361890.PDF,guarantee involving a related/associated party; sina doc 12361890
analysis_024,000959,首钢股份,2024-12-11,related_estimate,关于2025年度日常关联交易额预计情况的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-12/2024-12-11/10638358.PDF,annual estimate FY2025/FY2026; sina doc 10638358
analysis_025,002075,沙钢股份,2024-05-21,guarantee_individual,关于公司子公司之间提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-5/2024-05-21/10224310.PDF,latest individual guarantees (no annual quota found); sina doc 10224310
analysis_026,002075,沙钢股份,2025-05-07,guarantee_individual,关于公司子公司之间提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-5/2025-05-07/11090558.PDF,latest individual guarantees (no annual quota found); sina doc 11090558
analysis_027,002075,沙钢股份,2026-05-27,guarantee_individual,关于公司子公司之间提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-5/2026-05-27/12354270.PDF,latest individual guarantees (no annual quota found); sina doc 12354270
analysis_028,002075,沙钢股份,2024-12-11,related_estimate,关于2025年度日常关联交易预计的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2024/2024-12/2024-12-11/10639042.PDF,annual estimate FY2025/FY2026; sina doc 10639042
analysis_029,002075,沙钢股份,2025-12-11,related_estimate,关于2026年度日常关联交易预计的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-12/2025-12-11/11691659.PDF,annual estimate FY2025/FY2026; sina doc 11691659
analysis_030,002110,三钢闽光,2025-01-04,guarantee_quota,关于2025年度公司为全资及控股子公司提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-1/2025-01-04/10693477.PDF,annual guarantee quota; sina doc 10693477
analysis_031,002110,三钢闽光,2025-01-04,related_estimate,关于2025年度公司及其子公司日常关联交易预计的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2025/2025-1/2025-01-04/10693476.PDF,annual estimate FY2025/FY2026; sina doc 10693476
analysis_032,600010,包钢股份,2025-03-14,guarantee_quota,关于2025年度为控股子公司提供担保额度的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-3/2025-03-14/10782678.PDF,annual guarantee quota; sina doc 10782678
analysis_033,600010,包钢股份,2025-06-07,pledge,股份质押公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-6/2025-06-07/11166051.PDF,controlling-shareholder pledge; sina doc 11166051
analysis_034,600010,包钢股份,2025-07-17,pledge,股份质押公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-7/2025-07-17/11243334.PDF,controlling-shareholder pledge; sina doc 11243334
analysis_035,600010,包钢股份,2026-02-07,pledge,股份解除质押及质押公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-2/2026-02-07/11955116.PDF,controlling-shareholder pledge; sina doc 11955116
analysis_036,600010,包钢股份,2025-04-19,related_estimate,关于2024年度关联交易执行情况及2025年度日常关联交易预测的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-4/2025-04-19/10904219.PDF,annual estimate FY2025/FY2026; sina doc 10904219
analysis_037,600019,宝钢股份,2024-01-30,guarantee_individual,关于变更为沙特厚板公司提供担保事项的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-1/2024-01-30/9807012.PDF,latest individual guarantees (no annual quota found); sina doc 9807012
analysis_038,600019,宝钢股份,2025-04-26,related_estimate,2025年度日常关联交易公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-4/2025-04-26/11006042.PDF,annual estimate FY2025/FY2026; sina doc 11006042
analysis_039,600022,山东钢铁,2025-04-30,related_estimate,日常关联交易公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-4/2025-04-30/11066177.PDF,annual estimate FY2025/FY2026; sina doc 11066177
analysis_040,600022,山东钢铁,2025-12-11,related_estimate,关于2026年度日常关联交易预计的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-12/2025-12-11/11690260.PDF,annual estimate FY2025/FY2026; sina doc 11690260
analysis_041,600231,凌钢股份,2025-02-18,capacity,关于1#—4#高炉装备升级建设项目进展的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-2/2025-02-18/10746897.PDF,capacity / maintenance; sina doc 10746897
analysis_042,600231,凌钢股份,2025-05-28,capacity,关于1#-4#高炉装备升级建设项目—2290m3高炉投产的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-5/2025-05-28/11144336.PDF,capacity / maintenance; sina doc 11144336
analysis_043,600231,凌钢股份,2024-11-14,guarantee_individual,关于对外提供担保的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-11/2024-11-14/10590962.PDF,latest individual guarantees (no annual quota found); sina doc 10590962
analysis_044,600231,凌钢股份,2025-01-21,pledge,股份质押公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-1/2025-01-21/10717762.PDF,controlling-shareholder pledge; sina doc 10717762
analysis_045,600231,凌钢股份,2025-09-27,pledge,关于持股5%以上股东股份解除质押及再质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-9/2025-09-27/11483327.PDF,controlling-shareholder pledge; sina doc 11483327
analysis_046,600231,凌钢股份,2024-12-21,related_estimate,2025年度日常关联交易公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-12/2024-12-21/10662217.PDF,annual estimate FY2025/FY2026; sina doc 10662217
analysis_047,600231,凌钢股份,2026-04-01,related_estimate,关于2026年日常关联交易的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-4/2026-04-01/12051620.PDF,annual estimate FY2025/FY2026; sina doc 12051620
analysis_048,600282,南钢股份,2024-12-27,guarantee_quota,关于2025年度预计为全资及控股子公司申请授信提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-12/2024-12-27/10673228.PDF,annual guarantee quota; sina doc 10673228
analysis_049,600282,南钢股份,2024-12-27,guarantee_quota,关于2025年度预计为全资子公司销售钢材提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-12/2024-12-27/10673221.PDF,annual guarantee quota; sina doc 10673221
analysis_050,600282,南钢股份,2026-01-10,guarantee_quota,关于2026年度预计为全资及控股子公司申请授信提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-1/2026-01-10/11908011.PDF,annual guarantee quota; sina doc 11908011
analysis_051,600282,南钢股份,2026-01-10,guarantee_quota,关于2026年度预计为全资子公司销售钢材提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-1/2026-01-10/11908009.PDF,annual guarantee quota; sina doc 11908009
analysis_052,600282,南钢股份,2024-12-27,related_estimate,关于2025年度预计日常关联交易的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-12/2024-12-27/10673229.PDF,annual estimate FY2025/FY2026; sina doc 10673229
analysis_053,600282,南钢股份,2026-01-10,related_estimate,关于2026年度预计日常关联交易的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-1/2026-01-10/11908005.PDF,annual estimate FY2025/FY2026; sina doc 11908005
analysis_054,600307,酒钢宏兴,2025-04-30,related_estimate,关于2025年度日常关联交易预计的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-4/2025-04-30/11069999.PDF,annual estimate FY2025/FY2026; sina doc 11069999
analysis_055,600399,抚顺特钢,2026-01-01,pledge,关于持股5%以上股东部分股份解除质押及再质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-1/2026-01-01/11892719.PDF,controlling-shareholder pledge; sina doc 11892719
analysis_056,600399,抚顺特钢,2025-04-12,related_estimate,关于2024年日常关联交易执行情况及2025年日常关联交易预计的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-4/2025-04-12/10866367.PDF,annual estimate FY2025/FY2026; sina doc 10866367
analysis_057,600399,抚顺特钢,2026-03-31,related_estimate,关于2025年日常关联交易执行情况及2026年日常关联交易预计的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-3/2026-03-31/12038267.PDF,annual estimate FY2025/FY2026; sina doc 12038267
analysis_058,600507,方大特钢,2025-11-29,guarantee_individual,关于为全资子公司提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-11/2025-11-29/11647165.PDF,latest individual guarantees (no annual quota found); sina doc 11647165
analysis_059,600507,方大特钢,2026-03-03,guarantee_individual,关于为全资孙公司提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-3/2026-03-03/11978352.PDF,latest individual guarantees (no annual quota found); sina doc 11978352
analysis_060,600507,方大特钢,2026-06-27,guarantee_individual,关于为全资子公司提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-6/2026-06-27/12414596.PDF,latest individual guarantees (no annual quota found); sina doc 12414596
analysis_061,600507,方大特钢,2024-02-06,guarantee_related,关于全资子公司为全资孙公司提供担保暨接受关联方无偿担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-2/2024-02-06/9823214.PDF,guarantee involving a related/associated party; sina doc 9823214
analysis_062,600507,方大特钢,2024-04-12,guarantee_related,关于全资子公司及全资孙公司接受关联方无偿担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-4/2024-04-12/9959233.PDF,guarantee involving a related/associated party; sina doc 9959233
analysis_063,600507,方大特钢,2025-02-07,guarantee_related,关联担保到期及续保公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-2/2025-02-07/10736153.PDF,guarantee involving a related/associated party; sina doc 10736153
analysis_064,600507,方大特钢,2025-02-11,guarantee_related,关于全资子公司为全资孙公司提供担保暨接受关联方无偿担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-2/2025-02-11/10739641.PDF,guarantee involving a related/associated party; sina doc 10739641
analysis_065,600507,方大特钢,2025-11-29,guarantee_related,关于调整与方大炭素关联担保额度的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-11/2025-11-29/11647164.PDF,guarantee involving a related/associated party; sina doc 11647164
analysis_066,600507,方大特钢,2025-06-25,pledge,关于控股股东部分股份质押展期的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-6/2025-06-25/11198389.PDF,controlling-shareholder pledge; sina doc 11198389
analysis_067,600507,方大特钢,2025-07-23,pledge,关于持股5%以上股东部分股份质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-7/2025-07-23/11254263.PDF,controlling-shareholder pledge; sina doc 11254263
analysis_068,600507,方大特钢,2025-12-23,pledge,关于控股股东部分股份解除质押及质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-12/2025-12-23/11865126.PDF,controlling-shareholder pledge; sina doc 11865126
analysis_069,600507,方大特钢,2026-07-23,pledge,关于持股5%以上股东部分股份质押展期及补充质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-7/2026-07-23/12458265.PDF,controlling-shareholder pledge; sina doc 12458265
analysis_070,600507,方大特钢,2024-12-31,related_estimate,关于预计2025年度日常关联交易事项的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-12/2024-12-31/10682163.PDF,annual estimate FY2025/FY2026; sina doc 10682163
analysis_071,600569,安阳钢铁,2026-01-21,guarantee_quota,关于公司2026年度为控股子公司提供担保额度的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-1/2026-01-21/11925403.PDF,annual guarantee quota; sina doc 11925403
analysis_072,600569,安阳钢铁,2025-11-08,guarantee_related,关于出售控股子公司股权形成关联担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-11/2025-11-08/11592531.PDF,guarantee involving a related/associated party; sina doc 11592531
analysis_073,600569,安阳钢铁,2025-03-12,pledge,关于控股股东股份质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-3/2025-03-12/10778395.PDF,controlling-shareholder pledge; sina doc 10778395
analysis_074,600569,安阳钢铁,2025-12-02,pledge,关于控股股东股份质押的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-12/2025-12-02/11654454.PDF,controlling-shareholder pledge; sina doc 11654454
analysis_075,600569,安阳钢铁,2025-04-30,related_estimate,日常关联交易公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-4/2025-04-30/11073982.PDF,annual estimate FY2025/FY2026; sina doc 11073982
analysis_076,600569,安阳钢铁,2026-04-23,related_estimate,日常关联交易公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-4/2026-04-23/12148665.PDF,annual estimate FY2025/FY2026; sina doc 12148665
analysis_077,600581,八一钢铁,2025-03-08,related_estimate,2025年度日常关联交易预计的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-3/2025-03-08/10775008.PDF,annual estimate FY2025/FY2026; sina doc 10775008
analysis_078,600782,新钢股份,2024-04-23,guarantee_individual,关于控股子公司对外提供担保的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-4/2024-04-23/10031961.PDF,latest individual guarantees (no annual quota found); sina doc 10031961
analysis_079,600782,新钢股份,2025-02-27,related_estimate,关于2024年度日常关联交易执行情况暨2025年度关联交易预计情况的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-2/2025-02-27/10760346.PDF,annual estimate FY2025/FY2026; sina doc 10760346
analysis_080,600782,新钢股份,2025-12-13,related_estimate,关于公司2025年度日常关联交易执行情况暨2026年度关联交易预计情况的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-12/2025-12-13/11709070.PDF,annual estimate FY2025/FY2026; sina doc 11709070
analysis_081,600808,马钢股份,2024-10-31,related_estimate,持续关联交易公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-10/2024-10-31/10565965.PDF,annual estimate FY2025/FY2026; sina doc 10565965
analysis_082,601003,柳钢股份,2024-11-19,capacity,关于产能淘汰的进展公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-11/2024-11-19/10597243.PDF,capacity / maintenance; sina doc 10597243
analysis_083,601003,柳钢股份,2024-11-19,capacity,关于广西钢铁集团有限公司3号高炉系统投产的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2024/2024-11/2024-11-19/10597242.PDF,capacity / maintenance; sina doc 10597242
analysis_084,601003,柳钢股份,2025-03-01,related_estimate,关于2024年度日常关联交易情况及2025年度日常关联交易预计的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2025/2025-3/2025-03-01/10764239.PDF,annual estimate FY2025/FY2026; sina doc 10764239
analysis_085,601003,柳钢股份,2026-03-12,related_estimate,关于2025年度日常关联交易情况及2026年度日常关联交易预计的公告,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESH_STOCK/2026/2026-3/2026-03-12/11990945.PDF,annual estimate FY2025/FY2026; sina doc 11990945
